case,water81,water80,water79,income,educat,retire,peop81,cpeop,peop80
240,2600,3700,3900,30,14,0,4,0,4
241,2100,2900,3500,25,14,0,4,0,4
242,1700,1900,2100,25,12,0,3,0,3
243,6500,8400,11800,50,16,0,6,0,6
244,1500,1600,2000,45,14,1,3,0,3
245,1600,3100,1800,27,14,0,2,0,2
246,2600,2300,4000,17,11,1,2,0,2
247,3000,3700,2800,45,12,0,5,0,5
248,1200,1500,1600,5,12,1,2,0,2
249,1000,1200,1200,20,9,0,4,0,4
250,3200,4000,4200,25,14,0,4,0,4
251,1200,2100,2400,15,20,1,2,0,2
252,2500,2500,2800,35,16,0,3,0,3
253,1600,2300,2500,30,14,0,2,0,2
254,2500,2800,2100,30,13,0,5,0,5
255,1300,1400,2000,5,20,0,3,-1,4
256,1200,2200,2200,20,13,0,3,0,3
257,2100,2100,2000,25,14,0,3,0,3
258,600,1000,1000,14,12,0,1,0,1
259,2200,3400,6500,45,16,0,3,0,3
260,1500,1800,1800,10,16,0,1,0,1
261,800,1000,2200,9,11,1,1,0,1
262,1800,4400,1900,20,20,0,2,-1,3
263,1000,1000,1100,6,12,1,2,0,2
264,1800,1800,2000,25,14,1,2,0,2
265,2000,1700,2500,15,18,1,2,0,2
266,1800,2300,3600,35,14,0,3,0,3
267,3100,3000,5200,45,16,0,6,0,6
268,600,1100,1400,5,18,1,3,0,3
269,600,700,1000,20,20,1,2,0,2
270,800,1100,1100,5,18,1,1,0,1
271,1900,2700,2500,30,13,0,3,0,3
272,1600,2100,2200,18,20,0,1,0,1
273,600,1000,1100,10,20,1,1,0,1
274,4400,5600,6000,20,12,0,2,0,2
275,1500,1700,1600,45,12,0,2,0,2
276,2600,1400,4100,45,14,0,6,0,6
277,1800,3100,4400,39,20,0,6,0,6
278,1500,1800,2700,40,14,0,4,2,2
279,4600,5100,4700,15,12,1,4,0,4
280,1500,1800,3200,22,12,0,2,0,2
281,2300,2600,3400,25,14,0,5,0,5
282,5300,5800,6200,25,14,0,5,0,5
283,4600,3600,NA,40,11,0,7,1,6
284,1500,3800,2200,10,12,0,2,0,2
286,1600,1600,1900,20,12,0,2,0,2
287,1700,2400,2300,30,12,0,3,0,3
288,2300,3100,3000,25,18,0,3,0,3
289,2700,3200,4600,15,14,0,1,0,1
290,2100,2100,NA,35,16,0,2,0,2
291,1800,1900,2100,50,14,0,2,0,2
292,1800,2500,2300,5,7,0,1,-1,2
293,3000,5100,6100,68,20,0,4,0,4
294,2800,3000,3100,20,14,0,5,0,5
295,1000,2000,2800,40,20,0,2,0,2
296,3100,2600,3200,45,18,0,6,1,5
297,3900,5000,2700,32,11,0,5,0,5
298,3200,4300,4500,58,16,0,5,0,5
299,1000,1600,1800,10,12,1,3,0,3
300,3400,2700,5400,52,20,0,5,0,5
302,1800,2900,3600,26,12,0,5,1,4
303,2200,2300,1800,25,13,0,4,0,4
304,1500,2900,3600,20,16,0,5,0,5
305,3100,3300,2900,25,18,0,8,1,7
306,700,800,1500,15,20,0,1,0,1
307,4700,4500,5000,26,11,0,4,0,4
308,900,2800,2200,30,14,0,3,0,3
309,2600,2300,2700,21,12,1,3,0,3
310,2100,1600,NA,15,13,0,2,0,2
311,2000,2200,2100,15,14,0,3,1,2
312,1700,1400,1500,15,12,0,5,0,5
313,4700,8300,6500,38,16,0,4,0,4
314,1800,1900,2300,30,13,0,4,-1,5
315,1200,1300,1500,40,18,0,5,0,5
316,3900,4400,5400,35,16,0,4,-1,5
317,500,1000,800,15,13,0,1,0,1
318,2500,2200,2700,30,20,0,4,1,3
319,2400,2400,2000,20,20,0,4,0,4
320,1000,1400,1600,30,14,0,1,0,1
321,2400,3700,4500,20,12,0,4,0,4
322,1100,1300,2000,17,9,0,2,0,2
323,3800,2400,3400,30,12,0,7,2,5
324,2400,2100,1700,20,16,0,5,0,5
325,2700,2300,2700,20,16,0,3,0,3
326,2300,2400,3100,10,16,1,2,0,2
327,1900,2400,2400,15,13,0,4,0,4
328,2100,1900,2000,10,10,1,5,0,5
329,1500,1800,2000,20,16,0,4,0,4
330,2400,3100,3000,25,16,0,3,0,3
331,2500,3300,3300,25,18,0,3,1,2
332,1500,4600,3100,15,15,0,2,0,2
333,4100,5400,6400,25,12,0,3,-1,4
334,3100,2600,NA,2,10,1,1,0,1
335,4000,3600,3900,31,12,0,5,0,5
336,2200,2400,3800,15,11,0,3,0,3
337,1700,4700,3800,13,11,0,3,0,3
338,6100,3700,5900,25,16,0,7,0,7
340,1000,1000,1100,5,8,1,2,0,2
341,1400,1600,1900,25,16,0,3,0,3
342,1700,1800,1900,30,12,0,3,0,3
343,1200,1800,2200,20,14,0,3,-1,4
344,100,200,200,2,11,1,1,0,1
345,800,700,800,5,12,1,2,-1,3
346,1200,1000,800,25,9,0,1,0,1
347,2000,1400,1700,10,12,0,2,0,2
348,1000,800,1000,15,12,1,1,0,1
349,2600,2100,2500,30,11,0,4,0,4
350,3500,2100,2600,20,12,0,5,0,5
351,1000,1800,1900,15,14,1,1,-1,2
352,1200,700,1300,10,16,1,1,0,1
353,2100,3300,2500,15,12,1,3,0,3
354,2900,5900,3200,30,12,0,3,1,2
355,2900,5100,3200,25,16,0,4,1,3
356,4100,4300,5500,36,12,0,7,-1,8
357,3200,4800,1600,15,14,0,4,3,1
358,500,1100,2000,10,9,0,1,-1,2
359,2200,1500,NA,20,13,0,3,1,2
360,2300,2300,2300,25,8,0,2,0,2
361,4100,4100,3100,40,14,0,4,0,4
362,1700,3900,3600,25,12,0,3,0,3
363,1100,800,1500,5,12,0,2,0,2
364,700,700,600,12,11,1,1,0,1
365,800,1000,1100,3,11,1,1,0,1
366,200,1500,1300,10,18,0,1,-1,2
367,400,400,500,25,20,1,1,0,1
368,800,700,1000,10,14,1,1,0,1
369,2800,2900,4100,25,8,0,4,0,4
370,1300,700,1500,6,11,1,2,0,2
371,6100,6200,8300,19,11,1,4,0,4
372,1500,1800,1900,20,12,0,3,0,3
373,1000,1300,1300,25,12,1,2,0,2
374,3100,3600,4900,25,20,0,4,0,4
375,3100,2600,NA,20,14,1,1,0,1
376,1900,7800,2900,10,16,0,1,-1,2
377,5600,6100,5000,37,14,0,4,0,4
378,4000,2800,3300,25,16,0,4,1,3
379,2900,3700,4600,25,12,0,5,1,4
380,500,700,800,5,14,0,1,0,1
381,2400,2000,2100,15,16,0,4,0,4
382,3600,3700,3900,30,14,0,4,0,4
383,2300,2600,2600,20,12,0,2,0,2
384,1100,1200,1400,14,13,1,2,0,2
385,1300,1300,NA,5,19,1,3,0,3
386,800,800,1000,10,11,1,2,0,2
387,2500,3800,2400,30,16,1,2,-1,3
388,1300,1000,1300,25,12,0,2,0,2
389,300,300,400,5,14,1,1,0,1
390,1200,1300,2400,35,20,0,3,0,3
391,3100,2300,6700,15,12,0,3,0,3
392,2900,3100,2500,13,11,0,4,0,4
393,1300,1400,1400,10,8,1,2,0,2
395,3300,3900,4300,25,12,0,7,0,7
396,3900,2500,7800,20,9,0,2,0,2
398,1400,1700,2000,10,13,0,4,0,4
399,1600,2200,2100,15,13,0,4,0,4
400,1000,1200,1900,15,12,0,2,0,2
401,1600,500,700,14,13,0,1,0,1
402,1700,2000,2400,35,8,1,2,0,2
403,2100,1600,1800,15,13,1,3,0,3
405,2100,600,1300,25,14,0,2,0,2
406,2100,1900,2500,7,12,1,2,0,2
407,1300,1300,1400,15,12,1,2,0,2
408,2600,2300,NA,15,16,0,3,-1,4
409,1900,2000,2100,10,16,1,2,0,2
410,1200,1300,2400,25,14,0,4,0,4
411,600,500,800,25,18,0,1,0,1
413,1700,2100,2300,20,12,0,2,0,2
414,200,300,500,4,11,1,1,0,1
415,800,1000,1300,15,8,1,1,0,1
416,1100,1400,1400,45,16,1,2,0,2
417,1800,1200,300,20,14,0,3,0,3
418,1000,2300,3000,18,10,0,2,0,2
419,5800,5600,8600,15,14,0,6,1,5
420,2100,2200,3900,15,16,1,4,0,4
421,1500,1400,NA,20,20,0,2,0,2
422,3900,3500,4400,25,12,0,7,0,7
423,2700,3000,4000,45,12,1,2,0,2
424,700,1000,1300,8,12,0,2,0,2
425,400,400,600,5,12,1,1,0,1
426,4300,7800,6400,30,13,0,3,0,3
427,1800,1600,2000,10,12,1,2,0,2
428,1100,1400,2100,5,10,1,2,0,2
429,1000,1700,1700,5,10,1,1,0,1
430,2400,4700,7700,15,12,0,4,0,4
431,2300,4300,2700,20,13,0,2,0,2
432,2300,3400,3300,20,20,0,5,-1,6
433,2500,3200,3200,23,13,0,4,0,4
434,2600,2300,2300,20,13,0,3,-1,4
435,800,4200,1600,30,14,0,1,-1,2
436,2900,3800,4200,20,11,0,4,0,4
438,2700,3700,3100,25,12,0,4,0,4
439,3500,3400,4300,40,16,0,4,0,4
440,1800,1600,2300,20,20,0,3,0,3
441,1500,1800,2700,25,18,0,4,0,4
442,2400,2500,3300,23,12,0,4,-1,5
443,500,200,700,5,14,1,1,0,1
444,2600,3400,4200,33,16,0,3,-1,4
445,3700,3500,3800,22,12,0,6,0,6
446,3100,2800,5300,30,14,0,3,1,2
447,1600,1700,2100,12,12,0,2,0,2
448,2200,1800,2600,25,13,0,2,0,2
449,1000,1900,2200,5,11,1,1,-1,2
450,1000,1100,1400,25,12,0,4,0,4
451,4200,4200,6200,10,16,0,5,-1,6
452,2000,2800,3100,15,16,0,3,-1,4
453,2100,2700,3100,15,12,0,2,0,2
454,5600,4500,5700,26,12,0,4,0,4
455,1800,1000,7600,10,16,0,3,0,3
456,3600,3700,4200,30,18,0,7,0,7
457,800,700,400,14,13,1,2,0,2
458,3200,3900,4600,24,12,0,8,0,8
459,1900,1700,1700,11,12,0,3,0,3
460,2900,3300,5000,20,12,0,5,0,5
461,2200,3000,2400,45,12,0,1,0,1
462,700,1200,1900,10,14,1,1,0,1
463,1600,1700,2100,23,14,0,3,0,3
464,3400,5800,4100,12,11,1,5,-2,7
465,6900,8700,3500,30,14,0,5,0,5
466,2900,5100,NA,15,13,0,3,0,3
467,2900,3600,3100,25,12,0,2,-2,4
468,2300,3200,4200,24,13,0,4,0,4
469,1500,2900,4600,25,12,0,2,0,2
470,8100,10300,7100,25,14,0,6,0,6
471,4100,5200,4700,30,18,0,4,0,4
472,2600,3900,3100,18,10,1,2,0,2
473,2400,3000,2400,15,14,0,4,0,4
474,3500,5700,6000,30,20,0,4,0,4
475,1500,3300,3300,5,8,1,2,0,2
476,2800,2800,2600,30,16,0,3,0,3
477,4200,4100,4300,30,12,0,6,0,6
478,3200,6400,3800,30,16,0,3,0,3
479,600,700,700,3,6,1,2,0,2
480,1500,2000,NA,20,14,1,2,0,2
481,4300,4900,NA,21,11,0,5,0,5
482,600,1700,1800,10,20,1,1,0,1
483,1700,1500,1700,25,12,0,3,0,3
484,3400,6100,7000,30,14,0,3,0,3
485,2100,5700,7300,15,12,0,3,0,3
486,2900,3000,3500,15,14,0,3,0,3
487,1100,1400,NA,10,11,1,1,0,1
488,2300,3300,NA,25,13,0,2,0,2
490,1000,2100,NA,17,11,0,3,0,3
491,1800,2500,NA,28,18,0,4,0,4
492,3000,5800,6300,10,13,1,2,0,2
493,4100,4000,4200,25,14,0,2,0,2
494,3500,3400,8100,45,12,0,2,0,2
495,2800,6300,600,25,12,0,5,0,5
496,1100,1600,1800,15,11,1,1,0,1
497,3700,7700,NA,20,12,0,2,0,2
498,2600,4700,NA,30,16,0,5,0,5
499,1100,1100,NA,20,20,0,2,0,2
500,1800,1000,NA,10,16,1,1,0,1
501,3400,4700,4300,18,13,0,5,0,5
502,4000,7900,NA,25,12,0,4,0,4
503,2800,5700,3000,30,16,0,4,0,4
504,3400,4000,7300,33,20,0,2,0,2
505,1900,3500,1700,20,20,0,1,0,1
506,3000,6800,NA,40,14,0,4,0,4
507,2500,3100,NA,40,16,0,2,0,2
508,3000,3600,NA,25,16,0,4,-1,5
509,3400,6500,4500,35,20,0,3,-1,4
510,1600,2900,1800,15,14,0,3,1,2
511,1800,2100,NA,15,16,0,4,1,3
512,2800,4400,NA,20,16,0,2,0,2
513,3600,3600,NA,23,12,0,4,0,4
514,1100,4700,NA,45,16,0,2,0,2
515,2800,1900,NA,25,16,0,2,0,2
516,2400,4300,NA,53,14,0,4,0,4
